,data_value
0,398782049
1,93463460
2,1940552820
3,516852534
4,547117883
5,1532151675
6,291237472
7,693419366
8,851115527
9,1438774202
10,1296713801
11,1360081117
12,1063444531
13,61955967
14,1441914126
15,1857646695
16,1937104027
17,235414539
18,1195579105
19,564193381
20,1870087564
21,86884906
22,1711135591
23,1012507875
24,915789345
25,1377069811
26,454476445
27,366442815
28,1872823231
29,1351525254
30,318071327
31,211541324
32,508249795
33,772469926
34,97597556
35,2083304142
36,379356587
37,778551041
38,612233638
39,644609286
40,2040725038
41,1089542631
42,85622895
43,1282347936
44,230292469
45,526127481
46,773582060
47,310648974
48,797238039
49,1883185735
50,476842689
51,1167351730
52,1388885097
53,789792075
54,539573497
55,618760358
56,1838520611
57,309385542
58,216478509
59,815323950
60,209699580
61,1508443783
62,1289860891
63,827510949
64,1835476550
65,2122841704
66,502559601
67,1080115261
68,1352110058
69,1328012042
70,1059951421
71,272432853
72,441311199
73,1855994044
74,1043124875
75,1011839958
76,1354205706
77,1382805683
78,1274872400
79,2146857158
80,1342418465
81,476681111
82,66968068
83,2094966438
84,595334355
85,339111438
86,2123748938
87,1676491772
88,2132930619
89,2084092686
90,739240964
91,284682411
92,688983574
93,1732326174
94,254588495
95,324951470
96,915265407
97,1166453419
98,1420578170
99,1583672487
100,872092973
101,1443802253
102,1637148627
103,1893110606
104,460772175
105,2080773903
106,1971214504
107,1901576356
108,301860014
109,1356538792
110,129188152
111,1350391133
112,1636258438
113,186841534
114,868069301
115,2053318842
116,225164739
117,550301874
118,169370619
119,978306082
120,649976099
121,1190102472
122,1869258536
123,1844621751
124,110155465
125,674145122
126,1906665274
127,330829441
128,1117478286
129,1001943627
130,267102603
131,216014510
132,413300767
133,317327883
134,818241481
135,343659592
136,1244958513
137,1264421046
138,1257162714
139,1696605169
140,60083277
141,2062597314
142,540302696
143,1620589216
144,1704733531
145,131540184
146,289974213
147,1105265442
148,1722209781
149,1188635727
150,1103829331
151,2125964582
152,940816269
153,1181139435
154,1782885550
155,1641705213
156,10476040
157,350114239
158,1524286372
159,114210280
160,1474816860
161,1273321486
162,354772932
163,2018802679
164,1673446540
165,201236941
166,1038958689
167,1537923678
168,612258559
169,527812622
170,1511728610
171,1802146766
172,1182001117
173,28651482
174,997397009
175,262797298
176,153920997
177,2031288289
178,564759732
179,1266850137
180,1238017882
181,368567964
182,1130319769
183,1568782623
184,1552201674
185,1010458855
186,661296231
187,1189218262
188,1716743117
189,1647985082
190,1112180232
191,109245226
192,644856396
193,590873988
194,975405833
195,1890713035
196,751753727
197,1570459376
198,1390669197
199,1042482359
200,2114079882
201,450729484
202,1496515842
203,416896694
204,2107349235
205,351051949
206,656849442
207,1888023351
208,1433722890
209,368421044
210,1193175912
211,481192256
212,864300040
213,1798714745
214,1288541732
215,2140262793
216,707032646
217,1416145100
218,2111834660
219,2003910
220,1098036609
221,257856882
222,557989675
223,666671355
224,1814803501
225,951613558
226,120630001
227,1101147812
228,1927955766
229,1652597908
230,197238823
231,474415575
232,1176073210
233,1061096009
234,1410746807
235,2102378103
236,1389954063
237,505961678
238,15169798
239,1202971554
240,402402664
241,1719475934
242,1417725910
243,1261434044
244,1950428162
245,1528011203
246,250631754
247,1570136965
248,1377462026
249,896773725
250,2046436137
251,2138532525
252,2101582923
