,data_value
0,1213841233
1,1055490583
2,1015507006
3,234207148
4,518009746
5,1076826859
6,1518177700
7,1207385918
8,58690113
9,1831487119
10,1236187099
11,764252882
12,1928494457
13,246022107
14,1765355899
15,1605068820
16,2080566165
17,330573628
18,1749082570
19,1928261521
20,1623823352
21,1511981745
22,288422534
23,1981045121
24,1025030478
25,1175489001
26,1392001457
27,806841242
28,960221041
29,2128303646
30,410754494
31,2132661985
32,1985680085
33,690885443
34,2014353873
35,392345283
36,219987379
37,357914748
38,1568849112
39,1625598930
40,1557843828
41,2100423470
42,413406
43,63197061
44,412480559
45,957061504
46,974050493
47,979920258
48,228573801
49,97819631
50,1727451473
51,118444148
52,2106044007
53,912008041
54,1879774738
55,1007424180
56,252693226
57,1682502136
58,167055032
59,1144775255
60,1291517157
61,2012068664
62,1787049936
63,1072320638
64,1946492094
65,73688803
66,487550487
67,1045493933
68,1785866616
69,96116285
70,2022482922
71,491662418
72,305252965
73,825900231
74,834584464
75,1340307435
76,996538997
77,1728100157
78,1261635357
79,887731522
80,1341943348
81,98125282
82,1439612727
83,1302570674
84,115978969
85,1157188839
86,23488890
87,2034535899
88,168220807
89,462649244
90,1559910493
91,888612936
92,111625710
93,5709920
94,286017395
95,445587342
96,1691215337
97,1650184735
98,303067746
99,1524675954
100,279173438
101,2125178942
102,1208445905
103,1816593694
104,1862823880
105,1153545188
106,921222186
107,1930865216
108,2010521221
109,436075503
110,761899562
111,1768861963
112,1104763126
113,611704385
114,269360647
115,508900979
116,366055292
117,1723129044
118,674997660
119,531009897
120,598063858
121,490221506
122,984574843
123,337445179
124,53081250
125,942016844
126,1073159066
127,1380788052
128,1129861159
129,14868520
130,765765145
131,1679801892
132,1057568438
133,753987178
134,43540378
135,1797764323
136,1010627839
137,414081310
138,2001633086
139,1127583056
140,448608997
141,155602693
142,1738824061
143,1520999464
144,650787390
145,145471856
146,97931677
147,324823181
148,1908153210
149,7845267
150,912744718
151,584604156
152,650452852
153,1491432164
154,1325245607
155,1903760005
156,1068889194
157,1640437600
158,352121745
159,2072095341
160,615312254
161,982334008
162,1067176649
163,567176832
164,1631711228
165,1281530337
166,216638636
167,1285417617
168,2093939993
169,63897712
170,1887932415
171,1866731247
172,122869260
173,1263808432
174,1411458159
175,1272944686
176,653176469
177,264680820
178,941294891
179,306069203
180,1333000785
181,302155953
182,646268288
183,269327796
184,417659925
185,1223302222
186,759442303
187,311979710
188,1853457455
189,1602878562
190,1232587290
191,1456235538
192,164941946
193,604156303
194,1633031889
195,1142656943
196,404312191
197,2012407266
198,578055130
199,975300975
200,919681274
201,1242730507
202,1279698088
203,813064369
204,338748406
205,1623705046
206,1151770500
207,1867736428
208,168526414
209,1425060338
210,2035436007
211,1992645355
212,969165324
213,1288140375
214,1892898004
215,675289572
216,1314731620
217,1994266117
218,2137631824
219,648941811
220,1304082001
221,1168530380
222,264928220
223,761538449
224,510556770
225,450007010
226,2099553950
227,331432423
228,1944637363
229,1414528672
230,1840141531
231,608460999
232,748350216
233,653706229
234,653606833
235,945744324
236,1605551631
237,1667719449
238,1167427405
239,1314941524
240,1734841031
241,423608714
242,2105397904
243,1508696499
244,158410874
245,2074223923
246,736492157
247,1051132768
248,1363062789
249,1489953633
250,1561636229
251,1172521388
252,185774811
253,1198165882
254,797799996
255,509620820
256,683677720
257,578870008
258,1091180629
259,2043132483
260,1887252055
261,1093416819
262,1517497732
263,375654182
264,860520185
265,248135906
266,1382553804
267,1355672949
268,1264533546
269,1605328686
270,469828413
271,1525720816
272,2103395161
273,2095363542
274,1504110610
275,912133375
276,1592750433
277,1766728085
278,1510749455
279,1501804105
280,107104317
281,1754213048
282,1180473967
283,1664406502
284,1590808564
285,1626147503
286,475384914
287,1271141263
288,702464155
289,659054849
290,2040193283
291,1773927222
292,1952578385
293,2029098213
294,1479385136
295,1563755336
296,1128380672
297,1595010972
298,1579511203
299,903368675
300,714535209
301,48930088
302,488249035
303,223458345
304,281431208
305,2034210651
306,462441448
307,1170086317
308,980579292
309,990973334
310,1711585109
311,1554139890
312,701022944
313,714803092
314,543274207
315,1878661186
316,127564617
317,26681404
318,1678638078
319,550022442
320,1558907505
321,1182697048
322,1478806056
323,701164981
324,1113699561
325,1125709546
326,37325173
327,2086819228
328,1380116873
329,1542153223
330,704996468
331,1486016447
332,1611029926
333,1636147619
334,543096366
335,885800702
336,17937078
337,1424139524
338,1735515644
339,1984237452
340,1869620247
341,1538466965
342,930428741
343,413877972
344,256927904
345,2097450185
346,302081664
347,1643211754
348,1350505826
349,365242515
350,390624811
351,497529363
352,2061044113
353,1997629816
354,68623807
355,29085601
356,1713754915
357,474262484
358,302096008
359,1697398024
360,5194850
361,719407139
362,1216798438
363,1537665886
364,691415370
365,585129172
366,1716931002
367,1238725700
368,1002902860
369,1620726557
370,211839341
371,308002967
372,1933109651
373,1144924260
374,351871086
375,631275527
376,659305124
377,58296754
378,1559861816
379,1936264533
380,1634108771
381,1988262897
382,625720458
383,1060133922
384,395788122
385,1214084621
386,1781329259
387,1959708085
388,1146089272
389,1339483771
390,1745025595
391,116959286
392,1234452531
393,1015153326
394,1484780826
395,108520281
396,1690572268
397,682401514
398,2049962674
399,1455007425
400,1500844867
401,447654666
402,2025022645
403,1094487900
404,1655897902
405,2088883967
406,856171848
407,1677914811
408,766178549
409,1326452485
410,1550240808
411,52850983
412,1162098706
413,174066470
414,1546145692
415,629059766
416,1718916829
417,443720730
418,1918624467
419,1735044881
420,73660385
421,1565213334
422,566972414
423,2084040715
424,1775807033
425,1680640603
426,1634736786
427,1955754222
428,1751525141
429,1499324221
430,1139942133
431,617737358
432,474484990
433,1792451292
434,1175572985
435,653272972
436,2129744252
437,147442459
438,709251422
439,1687525628
440,1408750749
441,1294929214
442,1159661295
443,12486096
444,480901359
445,473503205
446,903072664
447,1325705891
448,233704427
449,14483790
450,1998111955
451,1744569655
452,1624183220
453,1908871943
454,18252879
455,1923088461
456,193749581
457,2084907724
458,244426783
459,1535756433
460,1457013455
461,45381023
462,609928234
463,42951623
464,550481349
465,1175028430
466,1031614455
467,1156263637
468,919713359
469,1617699154
470,613891414
471,151222865
472,748327897
473,1296950844
474,1749934277
475,1115150884
476,2055388468
477,545786975
478,1385873328
479,710723229
480,1930524759
481,764452107
482,1661433675
483,84223233
484,1361254453
485,319945544
486,1286738420
487,1375762106
488,970440942
489,891240028
490,1475892639
491,419321221
492,917292871
493,443539639
494,1157057706
495,659986246
496,1615118869
497,1627360854
498,987836651
499,1190689228
500,1217982045
501,53404534
502,1529068853
503,1281023108
504,868737659
505,1057535999
506,1442101031
507,1988847783
508,1804647316
509,437771298
510,1062915957
511,550021518
512,128715951
513,495921910
514,207163480
515,1340650221
516,832320493
517,1953408688
518,825221627
519,448357493
520,318187758
521,892008466
522,2018195940
523,1445928264
524,1979112701
525,2094258253
526,911598002
527,983640658
528,309761184
529,462020259
530,1458992930
531,523226274
532,1975648800
533,481796602
534,1084353252
535,1559795198
536,250718983
537,887061905
538,215024911
539,83006503
540,1487218676
541,849734914
542,1463539002
543,957352837
544,721888086
545,52974832
546,1136353556
547,1918043602
548,1009807353
549,1751836276
550,464400496
551,842725163
552,1694849666
553,526853967
554,43919525
555,89940973
556,1454414550
557,289365779
558,43247065
559,1551730886
560,1136830856
561,2555310
562,1832288076
563,1055306134
564,2028178384
565,1540366094
566,1035198165
567,887742153
568,438980601
569,14508984
570,1561134513
571,965570141
572,641105274
573,1645610971
574,1378929738
575,2104410669
576,1554052973
577,174437271
578,2007278997
579,2080358554
580,2112490481
581,259557195
582,856245354
583,314784038
584,1376442745
585,893498172
586,1511633388
587,270098485
588,534315998
589,492606805
590,1425095062
591,1665348328
592,466722636
593,1669258495
594,69474348
595,1862433207
596,334657721
597,1592493194
598,1551942415
599,2138904905
600,1741816776
601,53570782
602,28154380
603,67673104
604,1688388837
605,835218964
606,1591599293
607,1449343195
608,882271922
609,162477734
610,1949125691
611,556595291
612,1214051172
613,1415883472
614,284763206
615,1691212474
616,963577177
617,1171706208
618,2007623649
619,1756903412
620,1469097112
621,1635929716
622,72098829
623,1660235535
624,196199357
625,580381365
626,1250324632
627,1748366359
628,1837364654
629,56514579
630,1585808738
631,39109239
632,1133086018
633,716502840
634,600487061
635,1690855832
636,1773221863
637,1994660177
638,844208662
639,1164778927
640,1798068138
641,1324606873
642,791460324
643,821478009
644,2129465633
645,1264982797
646,1113585304
647,1385256933
648,176670227
649,872437671
650,795136212
651,1189303700
652,352793223
653,389416613
654,573868616
655,779728394
656,839279926
657,956489902
658,1131400365
659,251827496
660,1319213257
661,922938601
662,161151369
663,1108295216
664,1318098148
665,1723391130
666,831247515
667,1558370072
668,809899639
669,476645379
670,585550520
671,889159858
672,1620219744
673,1406673993
674,2090923086
675,502237938
676,2101475941
677,708052442
678,697386189
679,2006137033
680,2038813190
681,1665911449
682,1160130289
683,1848330341
684,96056684
685,1106459658
686,30392293
687,1481605881
688,166893986
689,1001032993
690,1695579758
691,1815352564
692,1518418218
693,1789683688
694,1313807269
695,765429334
696,1353786212
697,600841434
698,888185410
699,910811387
700,802037173
701,203520186
702,1956265457
703,525840858
704,742410289
705,1815685191
706,1535530992
707,1432807810
708,2144302997
709,129485798
710,1194873944
711,170343526
712,1361414148
713,615552885
714,499779637
715,248846963
716,1615453177
717,1857271243
718,1453330642
719,1712894208
720,1575927071
721,1571968710
722,1606333125
723,755536686
724,641827016
725,1593811128
726,226746541
727,1618698920
728,513495461
729,2119567052
730,1336235849
731,1775932844
732,1069573072
733,1088956477
734,44215990
735,1405575803
736,1245373287
737,1210284150
738,1128720957
739,250787157
740,1669815370
741,663846757
742,350632405
743,745253542
744,1115448277
745,227702566
746,2071747601
747,1225149545
748,2086244096
749,2033525252
750,1854749783
751,1970077610
752,532850985
753,1592704217
754,313170118
755,520350780
756,1176398877
757,1095286334
758,177857912
759,1120142201
760,798015623
761,1935319718
762,1803140374
763,900429949
764,1347372111
765,480826210
766,1509377045
767,1695700159
768,969761770
769,2116174171
